annex,marker,text,amended_by
II,1,"OJ L 159, 29.6.1996, p. 1",
II,2,Modified INNM-name.,
II,3,"OJ L 273, 10.10.2002, p. 1.",
II,4,for the individual ingredient see reference number 364 in Annex II.,
II,5,for the individual ingredient see reference number 413 in Annex II.,
II,6,From 23 August 2019 cosmetic products containing that substance shall not be placed on the Union market. From 23 August 2021 cosmetic products containing that substance shall not be made available on the Union market.,►M23
II,7,From 1 May 2019 cosmetic products containing that substance shall not be placed on the Union market. From 1 August 2019 cosmetic products containing that substance shall not be made available on the Union market.,►M27 ►C5
II,8,From 1 May 2019 cosmetic products containing that substance shall not be placed on the Union market. From 1 August 2019 cosmetic products containing that substance shall not be made available on the Union market.,
II,9,"From 22 November 2019 hair dye products, including eyebrow dye products, and eyelash dye products containing those substances shall not be placed on the Union market. From 22 February 2020 hair dye products, including eyebrow dye products, and eyelash dye products containing those substances shall not be made available on the Union market.",►M30
II,10,From 3 September 2021 hair and eyelash dye products containing those substances shall not be placed on the Union market. From 3 June 2022 hair and eyelash dye products containing those substances shall not be made available on the Union market.,►M38
II,11,From 1 February 2025 cosmetic products containing that substance shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance shall not be made available on the Union market.,
II,12,From 1 May 2025 products containing that substance shall not be placed on the Union market. From 1 May 2026 cosmetic products containing that substance shall not be made available on the Union market.,
II,13,From 1 January 2027 cosmetic products containing Triphenyl Phosphate and not complying with the restrictions shall not be placed on the Union market. From 1 July 2028 cosmetic products containing Triphenyl Phosphate and not complying with the restrictions shall not be made available on the Union market.,
