annex,entry_seq,ref_no,seq,colour_index,inci_name,cas,ec,split_ok
II,1,1,1,,N-(5-Chlorobenzoxazol-2-yl)acetamide,35783-57-4,,1
II,2,2,1,,(2-Acetoxyethyl)trimethylammonium hydroxide (Acetylcholine) and its salts,51-84-3,200-128-9,1
II,3,3,1,,Deanol aceglumate (INN),3342-61-8,222-085-5,1
II,4,4,1,,Spironolactone (INN),52-01-7,200-133-6,1
II,5,5,1,,"[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid (Tiratricol (INN)) and its salts",51-24-1,200-086-1,1
II,6,6,1,,Methotrexate (INN),59-05-2,200-413-8,1
II,7,7,1,,Aminocaproic acid (INN) and its salts,60-32-2,200-469-3,1
II,8,8,1,,"Cinchophen (INN), its salts, derivatives and salts of these derivatives",132-60-5,205-067-1,1
II,9,9,1,,Thyropropic acid (INN) and its salts,51-26-3,,1
II,10,10,1,,Trichloroacetic acid,76-03-9,200-927-2,1
II,11,11,1,,"Aconitum napellus L. (leaves, roots and galenical preparations)",84603-50-9,283-252-6,1
II,12,12,1,,Aconitine (principal alkaloid of Aconitum napellus L.) and its salts,302-27-2,206-121-7,1
II,13,13,1,,Adonis vernalis L. and its preparations,84649-73-0,283-458-6,1
II,14,14,1,,Epinephrine (INN),51-43-4,200-098-7,1
II,15,15,1,,"Rauwolfia serpentina L., alkaloids and their salts",90106-13-1,290-234-1,1
II,16,16,1,,"Alkyne alcohols, their esters, ethers and salts",,,1
II,17,17,1,,Isoprenaline (INN),7683-59-2,231-687-7,1
II,18,18,1,,Allyl isothiocyanate,57-06-7,200-309-2,1
II,19,19,1,,Alloclamide (INN) and its salts,5486-77-1,,1
II,20,20,1,,"Nalorphine (INN), its salts and ethers",62-67-9,200-546-1,1
II,21,21,1,,Sympathicomimetic amines acting on the central nervous system: any substance contained in the first list of medicaments which are subject to medical prescription and are referred to in resolution AP (69) 2 of the Council of Europe,300-62-9,206-096-2,1
II,22,22,1,,"Aniline, its salts and its halogenated and sulphonated derivatives",62-53-3,200-539-3,1
II,23,23,1,,Betoxycaine (INN) and its salts,3818-62-0,,1
II,24,24,1,,Zoxazolamine (INN),61-80-3,200-519-4,1
II,25,25,1,,"Procainamide (INN), its salts and derivatives",51-06-9,200-078-8,1
II,26,26,1,,Benzidine,92-87-5,202-199-1,1
II,27,27,1,,"Tuaminoheptane (INN), its isomers and salts",123-82-0,204-655-5,1
II,28,28,1,,Octodrine (INN) and its salts,543-82-8,208-851-1,1
II,29,29,1,,"2-Amino-1,2-bis(4-methoxyphenyl)ethanol and its salts",530-34-7,,1
II,30,30,1,,"1,3-Dimethylpentylamine and its salts",105-41-9,203-296-1,1
II,31,31,1,,4-Aminosalicylic acid and its salts,65-49-6,200-613-5,1
II,32,32,1,,"Toluidines, their isomers, salts and halogenated and sulphonated derivatives",26915-12-8,248-105-2,1
II,33,33,1,,"Xylidines, their isomers, salts and halogenated and sulphonated derivatives",1300-73-8,215-091-4,1
II,34,34,1,,"Imperatorin (9-(3-methylbut-2-enyloxy)furo[3,2- g]chromen-7-one)",482-44-0,207-581-1,1
II,35,35,1,,Ammi majus L. and its galenical preparations,90320-46-0,291-072-4,1
II,36,36,1,,"2,3-Dichloro-2-methylbutane",507-45-9,,1
II,37,37,1,,Substances with androgenic effect,,,1
II,38,38,1,,Anthracene oil,120-12-7,204-371-1,1
II,39,39,1,,Antibiotics,,,1
II,40,40,1,,Antimony and its compounds,7440-36-0,231-146-5,1
II,41,41,1,,Apocynum cannabinum L. and its preparations,84603-51-0,283-253-1,1
II,42,42,1,,"Apomorphine ((R) 5,6,6a,7-tetrahydro-6-methyl- 4H-dibenzo[de,g]quinoline-10,11-diol) and its salts",58-00-4,200-360-0,1
II,43,43,1,,Arsenic and its compounds,7440-38-2,231-148-6,1
II,44,44,1,,Atropa belladonna L. and its preparations,8007-93-0,232-365-9,1
II,45,45,1,,"Atropine, its salts and derivatives",51-55-8,200-104-8,1
II,46,46,1,,"Barium salts, with the exception of barium sulphide under the conditions laid down in Annex III, and of barium sulfate, lakes, salts and pigments prepared from colouring agents when listed in Annex IV",,,1
II,47,47,1,,Benzene,71-43-2,200-753-7,1
II,48,48,1,,Benzimidazol-2(3H)-one,615-16-7,210-412-4,1
II,49,49,1,,Benzazepines and benzodiazepines,12794-10-4,,1
II,50,50,1,,1-Dimethylaminomethyl-1-methylpropyl benzoate (amylocaine) and its salts,644-26-8,211-411-1,1
II,51,51,1,,"2,2,6-Trimethyl-4-piperidyl benzoate (eucaine) and its salts",500-34-5,,1
II,52,52,1,,Isocarboxazid (INN),59-63-2,200-438-4,1
II,53,53,1,,Bendroflumethiazide (INN) and its derivatives,73-48-3,200-800-1,1
II,54,54,1,,Beryllium and its compounds,7440-41-7,231-150-7,1
II,55,55,1,,"Bromine, elemental",7726-95-6,231-778-1,1
II,56,56,1,,Bretylium tosilate (INN),61-75-6,200-516-8,1
II,57,57,1,,Carbromal (INN),77-65-6,201-046-6,1
II,58,58,1,,Bromisoval (INN),496-67-3,207-825-7,1
II,59,59,1,,Brompheniramine (INN) and its salts,86-22-6,201-657-8,1
II,60,60,1,,Benzilonium bromide (INN),1050-48-2,213-885-5,1
II,61,61,1,,Tetrylammonium bromide (INN),71-91-0,200-769-4,1
II,62,62,1,,Brucine,357-57-3,206-614-7,1
II,63,63,1,,Tetracaine (INN) and its salts,94-24-6,202-316-6,1
II,64,64,1,,Mofebutazone (INN),2210-63-1,218-641-1,1
II,65,65,1,,Tolbutamide (INN),64-77-7,200-594-3,1
II,66,66,1,,Carbutamide (INN),339-43-5,206-424-4,1
II,67,67,1,,Phenylbutazone (INN),50-33-9,200-029-0,1
II,68,68,1,,Cadmium and its compounds,7440-43-9,231-152-8,1
II,69,69,1,,"Cantharides, Cantharis vesicatoria",92457-17-5,296-298-7,1
II,70,70,1,,Cantharidine,56-25-7,200-263-3,1
II,71,71,1,,Phenprobamate (INN),673-31-4,211-606-1,1
II,72,72,1,,Nitroderivatives of carbazole,,,1
II,73,73,1,,Carbon disulphide,75-15-0,200-843-6,1
II,74,74,1,,Catalase,9001-05-2,232-577-1,1
II,75,75,1,,Cephaeline and its salts,483-17-0,207-591-6,1
II,76,76,1,,Chenopodium ambrosioides L. (essential oil),8006-99-3,,1
II,77,77,1,,"2,2,2-Trichloroethane-1,1-diol",302-17-0,206-117-5,1
II,78,78,1,,Chlorine,7782-50-5,231-959-5,1
II,79,79,1,,Chlorpropamide (INN),94-20-2,202-314-5,1
II,80,80,1,,Moved or deleted,,,1
II,81,81,1,,"4-Phenylazophenylene-1,3-diamine citrate hydrochloride (chrysoidine citrate hydrochloride)",5909-04-6,,1
II,82,82,1,,Chlorzoxazone (INN),95-25-0,202-403-9,1
II,83,83,1,,2-Chloro-6-methylpyrimidin-4-yldimethylamine (crimidine-ISO),535-89-7,208-622-6,1
II,84,84,1,,Chlorprothixene (INN) and its salts,113-59-7,204-032-8,1
II,85,85,1,,Clofenamide (INN),671-95-4,211-588-5,1
II,86,86,1,,"N,N-bis(2-chloroethyl)methylamine N-oxide and its salts",126-85-2,,1
II,87,87,1,,Chlormethine (INN) and its salts,51-75-2,200-120-5,1
II,88,88,1,,Cyclophosphamide (INN) and its salts,50-18-0,200-015-4,1
II,89,89,1,,Mannomustine (INN) and its salts,576-68-1,209-404-3,1
II,90,90,1,,Butanilicaine (INN) and its salts,3785-21-5,,1
II,91,91,1,,Chlormezanone (INN),80-77-3,201-307-4,1
II,92,92,1,,Triparanol (INN),78-41-1,201-115-0,1
II,93,93,1,,"2-[2(4-Chlorophenyl)-2-phenylacetyl]indane-1,3- dione (chlorophacinone-ISO)",3691-35-8,223-003-0,1
II,94,94,1,,Chlorphenoxamine (INN),77-38-3,,1
II,95,95,1,,Phenaglycodol (INN),79-93-6,201-235-3,1
II,96,96,1,,Chloroethane,75-00-3,200-830-5,1
II,97,97,1,,Chromium; chromic acid and its salts,7440-47-3,231-157-5,1
II,98,98,1,,"Claviceps purpurea Tul., its alkaloids and galenical preparations",84775-56-4,283-885-8,1
II,99,99,1,,"Conium maculatum L. (fruit, powder, galenical preparations)",85116-75-2,285-527-6,1
II,100,100,1,,Glycyclamide (INN),664-95-9,211-557-6,1
II,101,101,1,,Cobalt benzenesulphonate,23384-69-2,,1
II,102,102,1,,"Colchicine, its salts and derivatives",64-86-8,200-598-5,1
II,103,103,1,,Colchicoside and its derivatives,477-29-2,207-513-0,1
II,104,104,1,,Colchicum autumnale L. and its galenical preparations,84696-03-7,283-623-2,1
II,105,105,1,,Convallatoxin,508-75-8,208-086-3,1
II,106,106,1,,Anamirta cocculus L. (fruit),,,1
II,107,107,1,,Croton tiglium L. (oil),8001-28-3,,1
II,108,108,1,,1-Butyl-3-(N-crotonoylsulphanilyl)urea,52964-42-8,,1
II,109,109,1,,Curare and curarine,"8063-06-7, 22260-42-0","232-511-1, 244-880-6",1
II,110,110,1,,Synthetic curarizants,,,1
II,111,111,1,,Hydrogen cyanide and its salts,74-90-8,200-821-6,1
II,112,112,1,,"Feclemine (INN); 2-(alpha-Cyclohexylbenzyl)-N, N,N',N'-tetraethyl-1,3-propanediamine",3590-16-7,,1
II,113,113,1,,Cyclomenol (INN) and its salts,5591-47-9,227-002-6,1
II,114,114,1,,Sodium hexacyclonate (INN),7009-49-6,,1
II,115,115,1,,Hexapropymate (INN),358-52-1,206-618-9,1
II,116,116,1,,Moved or deleted,,,1
II,117,117,1,,"O,O'-Diacetyl-N-allyl-N-normorphine",2748-74-5,,1
II,118,118,1,,Pipazetate (INN) and its salts,2167-85-3,218-508-8,1
II,119,119,1,,"5-(α,β-Dibromophenethyl)-5-methylhydantoin",511-75-1,208-133-8,1
II,120,120,1,,"N,N'-Pentamethylenebis(trimethylammonium) salts, e. g. pentamethonium bromide (INN)",541-20-8,208-771-7,1
II,121,121,1,,"N,N'-[(Methylimino)diethylene]bis(ethyldimethylammonium) salts, e. g. azamethonium bromide (INN)",306-53-6,206-186-1,1
II,122,122,1,,Cyclarbamate (INN),5779-54-4,227-302-7,1
II,123,123,1,,Clofenotane (INN); DDT (ISO),50-29-3,200-024-3,1
II,124,124,1,,"N,N'-Hexamethylenebis(trimethylammonium) salts, e. g. hexamethonium bromide (INN)",55-97-0,200-249-7,1
II,125,125,1,,"Dichloroethanes (ethylene chlorides) e.g. 1,2- Dichloroethane",107-06-2,203-458-1,1
II,126,126,1,,"Dichloroethylenes (acetylene chlorides) e.g. Vinylidene chloride (1,1-Dichloroethylene)",75-35-4,200-864-0,1
II,127,127,1,,Lysergide (INN) (LSD) and its salts,50-37-3,200-033-2,1
II,128,128,1,,2-Diethylaminoethyl 3-hydroxy-4- phenylbenzoate and its salts,3572-52-9,222-686-2,1
II,129,129,1,,Cinchocaine (INN) and its salts,85-79-0,201-632-1,1
II,130,130,1,,3-Diethylaminopropyl cinnamate,538-66-9,,1
II,131,131,1,,"O,O'-Diethyl-O-4-nitrophenyl phosphorothioate (Parathion - ISO)",56-38-2,200-271-7,1
II,132,132,1,,"[Oxalylbis(iminoethylene)]bis[(o-chlorobenzyl) diethylammonium] salts, e. g. ambenonium chloride (INN)",115-79-7,204-107-5,1
