annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
III,1,1,1,,none,,,,,,,,
III,2,2a,1,a,label,"(a) Hair waving or
straightening
products","(a)
(i) 8 %
(ii) 11 %",8.0,%,ii,"[8.0, 11.0]","(a)
(i) General use
ready for use pH 7 to
9,5
(ii) Professional use
ready for use pH 7 to
9,5","Conditions of use:
(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product
comes into contact with them.
(a) (c) (d)
Wear suitable gloves
Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children
(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions"
III,2,2a,2,b,label,(b) Depilatories,(b) 5 %,5.0,%,,,"(b) ready for use pH 7 to
12,7","Conditions of use:
(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product
comes into contact with them.
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children
(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions"
III,2,2a,3,c,label,"(c) Other hair
rinse-off
products",(c) 2 %,2.0,%,,,"(c) ready for use pH 7 to
9,5","Conditions of use:
(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product
comes into contact with them.
(a) (c) (d)
Wear suitable gloves
Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children
(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions"
III,2,2a,4,d,label,"(d) Products
intended for
eyelash
waving","(d) 11 %
The abovementioned
percentages are
calculated as
thioglycolic
acid",11.0,%,,,"(d) For professional use
ready for use pH 7 to
9,5","Conditions of use:
(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product
comes into contact with them.
(a) (c) (d)
Wear suitable gloves
Warnings to be printed on the label:"
III,3,2b,1,a,label,"Hair waving or
straightening
products",(a) 8 %,8.0,%,,,"General use
ready for use pH 6 to 9,5
Professional use
ready for use pH 6 to 9,5","Conditions of use:
(a) (b)
May cause sensitization in the event
of skin contact
Avoid contact with eyes
In the event of contact with eyes,
rinse immediately with plenty of
water and seek medical advice
Wear suitable gloves
Warnings:
Contains thioglycolate
Follow the instructions
Keep out of reach of children"
III,3,2b,2,b,label,"Hair waving or
straightening
products","(b) 11 %
The abovementioned
percentages
are
calculated
as thioglycolic acid",11.0,%,,,"General use
ready for use pH 6 to 9,5
Professional use
ready for use pH 6 to 9,5","Conditions of use:
(a) (b)
May cause sensitization in the event
of skin contact
Avoid contact with eyes
In the event of contact with eyes,
rinse immediately with plenty of
water and seek medical advice
Wear suitable gloves
Warnings:
Contains thioglycolate
Follow the instructions
Keep out of reach of children
(b) For professional use only"
III,4,3,1,,none,Hair products,5 %,5.0,%,,,Professional use,For professional use only
III,5,4,1,,none,,6 % (as NH3),6.0,%,NH3,,,Above 2 %: Contains ammonia
III,6,5,1,,none,,"0,2 %",0.2,%,,,,
III,7,6,1,a,label,(a) Toothpaste,(a) 5 %,5.0,%,,,,
III,7,6,2,b,label,(b) Other products,(b) 3 %,3.0,%,,,,
III,8,7,1,,none,,,,,,,,
III,9,8,1,a,label,"Hair dye substance
in oxidative hair
dye products",,,,,,(a) General use,"(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines.
Do not use to dye eyelashes or
eyebrows’"
III,9,8,2,b,label,"Hair dye substance
in oxidative hair
dye products",,,,,,"(b) Professional use
For (a) and (b):
After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 3 % calculated as
free base","(b) To be printed on the label:
The mixing ratio.
‘For professional use only
Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines.
Wear suitable gloves’"
III,10,8a,1,a,label,"Hair dye substance
in oxidative hair
dye products",,,,,,(a) General use,"(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines.
Do not use to dye eyelashes or
eyebrows.’"
III,10,8a,2,b,label,"Hair dye substance
in oxidative hair
dye products",,,,,,"(b) Professional use
For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
must not exceed 2 %
calculated as free base","(b) To be printed on the label:
The mixing ratio.
‘For professional use only.
Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines.
Wear suitable gloves.’"
III,11,8b,1,,none,"Products intended
for colouring
eyelashes",,,,,,"After mixing under
oxidative conditions the
maximum concentration
applied to eyelashes must
not exceed 2 % calculated
as free base
For professional use only.","To be printed on the label:
The mixing ratio.
‘For professional use only.
This product can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase the risk of allergy.
Eyelashes shall not be coloured if
the consumer:
— has a rash on the face or sensitive,
irritated and damaged scalp,
— has experienced any reaction
after colouring hair or
eyelashes,
— has experienced a reaction to a
temporary “black henna” tattoo
in the past.
Rinse eyes immediately if product
comes into contact with them.
Contains phenylenediamines.
Wear suitable gloves.’"
III,12,8c,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) As from 3 September
2017, after mixing
under oxidative
conditions the
maximum concentration
applied to hair must not
exceed 1,0 %
For (a) and (b), as from
3 September 2017:
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","(a) As from 3 March 2018, to be
printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past’."
III,12,8c,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) As from
3 September
2017: 1,5 %",1.5,%,,,,
III,13,9,1,a,label,"Hair dye substance
in oxidative hair
dye products",,,,,,(a) General use,"(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines
(toluenediamines).
Do not use to dye eyelashes or
eyebrows.’"
III,13,9,2,b,label,"Hair dye substance
in oxidative hair
dye products",,,,,,"(b) Professional use
For (a) and (b):
After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 5 % calculated as
free base","(b) To be printed on the label:
The mixing ratio.
‘For professional use only. Hair
colourants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines
(toluenediamines).
Wear suitable gloves.’"
III,14,9a,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) (i) General use
(a) (ii) Professional use","(a) To be printed on the label: The
mixing ratio.
‘ Hair colourants can cause
severe allergic reactions. Read
and follow instructions. This
product is not intended for use
on persons under the age of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines
(toluenediamines)
(a) (i) Do not use to dye
eyelashes.
(a) (ii) Wear suitable gloves.
For professional use only.’"
