annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
III,1,1,1,deleted,▼M32,,140,,,,,,,,,,,0
III,2,2a,0,active,▼M9,,140,"Thioglycolic acid
and its salts",,"Thioglycolic
acid",68-11-1,200-677-4,,"(a) Hair waving or
straightening
products
(b) Depilatories
(c) Other hair
rinse-off
products
(d) Products
intended for
eyelash
waving","(a)
(i) 8 %
(ii) 11 %
(b) 5 %
(c) 2 %
(d) 11 %
The abovementioned
percentages are
calculated as
thioglycolic
acid","(a)
(i) General use
ready for use pH 7 to
9,5
(ii) Professional use
ready for use pH 7 to
9,5
(b) ready for use pH 7 to
12,7
(c) ready for use pH 7 to
9,5
(d) For professional use
ready for use pH 7 to
9,5","Conditions of use:
(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product
comes into contact with them.
(a) (c) (d)
Wear suitable gloves
Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children
(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions",0
III,3,2b,0,active,▼B,,141,"Thioglycolic acid
esters",,,,,,"Hair waving or
straightening
products","(a) 8 %
(b) 11 %
The abovementioned
percentages
are
calculated
as thioglycolic acid","General use
ready for use pH 6 to 9,5
Professional use
ready for use pH 6 to 9,5","Conditions of use:
(a) (b)
May cause sensitization in the event
of skin contact
Avoid contact with eyes
In the event of contact with eyes,
rinse immediately with plenty of
water and seek medical advice
Wear suitable gloves
Warnings:
Contains thioglycolate
Follow the instructions
Keep out of reach of children
(b) For professional use only",0
III,4,3,0,active,▼B,,141,"Oxalic acid, its
esters and alkaline
salts",,Oxalic acid,144-62-7,205-634-3,,Hair products,5 %,Professional use,For professional use only,0
III,5,4,0,active,▼B,,141,Ammonia,,Ammonia,"7664-41-7/
1336-21-6","231-635-3/
215-647-6",,,6 % (as NH3),,Above 2 %: Contains ammonia,0
III,6,5,0,active,▼B,,142,"Tosylchloramide
sodium (INN)",,Chloramine-T,127-65-1,204-854-7,,,"0,2 %",,,0
III,7,6,0,active,▼B,,142,"Chlorates of alkali
metals",,"Sodium
chlorate
Potassium
chlorate","7775-09-9
3811-04-9","231-887-4
223-289-7",,"(a) Toothpaste
(b) Other products","(a) 5 %
(b) 3 %",,,0
III,8,7,1,deleted,▼M32,,142,,,,,,,,,,,0
III,9,8,0,active,▼M1,,"142,143,144","N-substituted derivatives of p-Phenylenediamine and
their salts; N-
substituted derivatives of o-Phenylenediamine (1),
with exception of
those derivatives
listed elsewhere in
this Annex and
under reference
numbers 1309,
1311, and 1312 in
Annex II",,,,,,"Hair dye substance
in oxidative hair
dye products",,"(a) General use
(b) Professional use
For (a) and (b):
After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 3 % calculated as
free base","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines.
Do not use to dye eyelashes or
eyebrows’
(b) To be printed on the label:
The mixing ratio.
‘For professional use only
Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines.
Wear suitable gloves’",0
III,10,8a,0,active,▼M1,,"144,145,146","p-Phenylenediamine
and its salts",,"p-Phenylenediamine;
p-Phenylenediamine HCl;
p-Phenylenediamine
Sulphate","106-50-3 /
624-18-0 /
16245-77-5","203-404-7 /
210-834-9 /
240-357-1",,"Hair dye substance
in oxidative hair
dye products",,"(a) General use
(b) Professional use
For (a) and (b): After
mixing under oxidative
conditions the maximum
concentration applied to hair
must not exceed 2 %
calculated as free base","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines.
Do not use to dye eyelashes or
eyebrows.’
(b) To be printed on the label:
The mixing ratio.
‘For professional use only.
Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.
Contains phenylenediamines.
Wear suitable gloves.’",1
