annex,marker,text,amended_by
III,1,These substances may be used singly or in combination provided that the sum of the ratios of the levels of each of them in the cosmetic product expressed with reference to the maximum level authorised for each of them does not exceed 1.,►M1
III,2,(deleted),►M32
III,3,(deleted),►M32
III,4,"The quantity of sodium, potassium or lithium hydroxide is expressed as weight of sodium hydroxide. In cases of mixtures, the sum should not exceed the limits given in column g.",►M13
III,5,"The concentration of sodium, potassium or lithium hydroxide is expressed as weight of sodium hydroxide. In case of mixtures, the sum should not exceed the limits given in column g.",
III,6,"For use as a preservative, see Annex V, No. 34.",►M1 ►C1
III,7,"For use as a preservative, see Annex V, No 43.",
III,8,"For use as a preservative, see Annex V, No. 54.",
III,9,"For use as a preservative see Annex V, No 3.",
III,10,Solely for products which might be used for children under 3 years of age.,
III,11,"For use as a preservative, see Annex V, No 9.",
III,12,"For use as a preservative, see AnnexV, No 23.",
III,13,(deleted),►M42
III,14,"Directive 2005/36/EC of the European Parliament and of the Council of 7 September 2005 on the recognition of professional qualifications (OJ L 255, 30.9.2005, p. 22).",
III,15,This limit applies to the substance and not to the finished cosmetic product.,►M1
III,16,The sum of those substances used in combination should not exceed the limits given as ‘Maximum concentration in ready for use preparation’.,►M1
III,17,"The free base and salts of this hair colouring ingredient, unless prohibited under Annex II, are permitted for use.",
III,18,"For use as a preservative, see Annex V, No 58.",
III,19,"For use as a preservative, see Annex V, entry No 44.",►M6 ►C2
III,20,"For other uses of potassium hydroxide, see Annex III, No 15d.",►M13
III,21,"For other uses of potassium hydroxide, see Annex III, No 15a.",►M13
III,22,"From 25 September 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be placed on the Union market. From 25 December 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be made available on the Union market.",►M25
III,23,From 25 September 2018 cosmetic products containing hydrolyzed wheat proteins and not complying with that restriction shall not be placed on the Union market. From 25 December 2018 cosmetic products containing hydrolyzed wheat proteins and not complying with that restriction shall not be made available on the Union market.,
III,24,From 1 May 2019 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 August 2019 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market.,►M27 ►C5
III,25,From 1 May 2019 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 August 2019 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market.,
III,26,From 1 May 2019 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 August 2019 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market.,
III,27,From 1 May 2019 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 August 2019 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market.,
III,28,"For use as a preservative, see Annex V, entry 32.",►M31
III,29,"From 27 November 2019 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those restrictions shall not be placed on the Union market. From 27 February 2020 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those restrictions shall not be made available on the Union market.",
III,30,From 3 June 2021 products containing that substance and not complying with those conditions shall not be placed on the Union market. From 3 September 2021 products containing that substance and not complying with those conditions shall not be made available on the Union market.,►M37
III,31,From 3 June 2021 products containing that substance and not complying with those conditions shall not be placed on the Union market. From 3 September 2021 products containing that substance and not complying with those conditions shall not be made available on the Union market.,
III,32,From 26 January 2022 hair dye and self-tanning products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 22 April 2022 hair dye and self- tanning products containing that substance and not complying with the restrictions shall not be made available on the Union market.,►M41
III,33,From 21 August 2022 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 21 November 2022 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market.,►M43
III,34,From 1 July 2023 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 January 2024 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market.,
III,35,From 1 July 2023 non-oxidative hair dye products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 January 2024 non-oxidative hair dye products containing that substance and not complying with the restrictions shall not be made available on the Union market.,
III,36,"For use as a colorant, see Annex IV, entry No 82.",
III,37,Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028.,
III,38,"Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028.",
III,39,"For use as Verbena essential oils (Lippia citriodora Kunth.) and derivatives, see Annex II, No 450.",
III,40,Cosmetic products containing that substance that do not comply with the restriction(s) may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028.,
III,41,"Since that substance is a monoterpene, it is subject to the restriction on peroxide value set out in entry 130.",
III,42,"For use of ‘Oil from the seeds of Laurus nobilis L.’, see Annex II, No 359.",
III,43,From 1 February 2025 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market.,►M50 ►C11
III,44,From 1 February 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market.’,
III,45,From 1 November 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 May 2027 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market.,
III,46,From 1 January 2027 cosmetic products containing these substances and not complying with the restrictions shall not be placed on the Union market. From 1 July 2028 cosmetic products containing these substances and not complying with the restrictions shall not be made available on the Union market.,
III,47,From 1 January 2027 cosmetic products containing these substances and not complying with the restrictions shall not be placed on the Union market. From 1 August 2028 cosmetic products containing these substances and not complying with the restrictions shall not be made available on the Union market.,
