annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
IV,1,1,1,,none,Rinse-off products,,,,,,,
IV,2,2,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,3,3,1,,none,"Not to be used in eye
products",,,,,,,
IV,4,4,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,5,5,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,6,6,1,,none,Rinse-off products,,,,,,,
IV,7,7,1,,none,,,,,,,,
IV,8,8,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,9,9,1,,none,,3 %,3.0,%,,,,
IV,10,10,1,,none,Rinse-off products,,,,,,,
IV,11,11,1,,none,Rinse-off products,,,,,,,
IV,12,12,1,,none,Rinse-off products,,,,,,,
IV,13,13,1,,none,Rinse-off products,,,,,,,
IV,14,14,1,,none,,,,,,,,
IV,15,15,1,,none,Rinse-off products,,,,,,,
IV,16,16,1,,none,,,,,,,,
IV,17,17,1,,none,,,,,,,,
IV,18,18,1,,none,,,,,,,,
IV,19,19,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 122)",
IV,20,20,1,,none,,,,,,,,
IV,21,21,1,,none,"Not to be used in eye
products",,,,,,,
IV,22,22,1,,none,,,,,,,,
IV,23,23,1,,none,,,,,,,,
IV,24,24,1,,none,Rinse-off products,,,,,,,
IV,25,25,1,,none,,3 %,3.0,%,,,,
IV,26,26,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,27,27,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 180)",
IV,28,28,1,,none,,,,,,,,
IV,29,29,1,,none,,,,,,,,
IV,30,30,1,,none,,,,,,,,
IV,31,31,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 110)",
IV,32,32,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 129)",
IV,33,33,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 123)",
IV,34,34,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,35,35,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 124)",
IV,36,36,1,,none,,,,,,,,
IV,37,37,1,,none,,,,,,,,
IV,38,38,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 128)",
IV,39,39,1,,none,Rinse-off products,,,,,,,
IV,40,40,1,,none,Rinse-off products,,,,,,,
IV,41,41,1,,none,Rinse-off products,,,,,,,
IV,42,42,1,,none,Rinse-off products,,,,,,,
IV,43,43,1,,none,,,,,,,,
IV,44,44,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 102)",
IV,45,45,1,,none,Rinse-off products,,,,,,"Maximum 3,3'-dimethylbenzidine concentration in
the colouring agent: 5 ppm",
IV,46,46,1,,none,Rinse-off products,,,,,,,
IV,47,47,1,,none,Rinse-off products,,,,,,"Maximum 3,3'-dimethylbenzidine concentration in
the colouring agent: 5 ppm",
IV,48,48,1,,none,Rinse-off products,,,,,,"Maximum 3,3'-dimethylbenzidine concentration in
the colouring agent: 5 ppm",
IV,49,49,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,50,50,1,,none,Rinse-off products,,,,,,,
IV,51,51,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,"Purity criteria:
aniline ≤ 0,2 %
2-naphtol ≤ 0,2 %
4-aminoazobenzene ≤
0,1 %
1-(phenylazo)-2-naphtol ≤
3 %
1-[2-(phenylazo)phenylazo]-2-napthalenol ≤ 2 %",
IV,52,52,1,,none,,,,,,,,
IV,53,53,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 151)",
IV,54,54,1,,none,Rinse-off products,,,,,,,
IV,55,55,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E160a)",
IV,56,56,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160e)",
IV,57,57,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160f)",
IV,58,58,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 161g)",
IV,59,59,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,60,60,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 131)",
IV,61,61,1,,none,,,,,,,,
IV,62,62,1,,none,Rinse-off products,,,,,,,
IV,63,63,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 133)",
IV,64,64,1,,none,Rinse-off products,,,,,,,
IV,65,65,1,,none,Rinse-off products,,,,,,,
IV,66,66,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,67,67,1,,none,Rinse-off products,5ppm,5.0,ppm,,,,
IV,68,68,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,69,69,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,70,70,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 142)",
IV,71,71,1,,none,Rinse-off products,,,,,,,
IV,72,72,1,,none,Rinse-off products,,,,,,,
IV,73,73,1,,none,Rinse-off products,,,,,,,
IV,74,74,1,,none,,6 %,6.0,%,,,,
IV,75,75,1,,none,,,,,,,"Not more than 1 % 2-(6-
hydroxy-3-oxo-3H-xanthen-
9-y1) benzoic acid and 2 %
2-(bromo-6-hydroxy-3-oxo-
3H-xanthen-9-yl) benzoic
acid",
IV,76,76,1,,none,,,,,,,"Not more than 1 % 2-(6-
hydroxy-3-oxo-3H-xanthen-
9-y1) benzoic acid and 2 %
2-(bromo-6-hydroxy-3-oxo-
3H-xanthen-9-yl) benzoic
acid",
IV,77,77,1,,none,,"1 %, when
used in lip
products",1.0,%,,,"Only in free acid form,
when used in lip products",
IV,78,78,1,,none,"Not to be used in eye
products",,,,,,"Not more than 1 % 2-(6-
hydroxy-3-oxo-3Η xanthen-
9-yl) benzoic acid and 2 %
2-(bromo-6-hydroxy-3-oxo-
3H-xanthen-9-yl) benzoic
acid",
IV,79,79,1,,none,,,,,,,"Not more than 1 % 2-(6-
hydroxy-3-oxo-3Η xanthen-
9-yl) benzoic acid and 2 %
2-(bromo-6-hydroxy-3-oxo-
3H-xanthen-9-yl) benzoic
acid",
IV,80,80,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 127)",
IV,81,81,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,82,82,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 104)",
IV,83,83,1,,none,Rinse-off products,,,,,,,
IV,84,84,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,85,85,1,,none,Rinse-off products,,,,,,,
IV,86,86,1,,none,,,,,,,,
IV,87,87,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,88,88,1,,none,Rinse-off products,,,,,,,
IV,89,89,1,,none,,,,,,,,
IV,90,90,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,91,91,1,,none,,,,,,,,
IV,92,92,1,,none,,,,,,,,
IV,93,93,1,,none,Rinse-off products,,,,,,,
IV,94,94,1,,none,Rinse-off products,,,,,,,
IV,95,95,1,,none,,,,,,,,
IV,96,96,1,,none,,,,,,,,
IV,97,97,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
IV,98,98,1,,none,,,,,,,,
IV,99,99,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 132)",
IV,100,100,1,,none,,,,,,,,
IV,101,101,1,,none,,,,,,,,
IV,102,102,1,,none,Rinse-off products,,,,,,,
IV,103,103,1,,none,Rinse-off products,,,,,,,
IV,104,104,1,,none,Rinse-off products,,,,,,,
IV,105,105,1,,none,,,,,,,,
IV,106,106,1,,none,Rinse-off products,,,,,,,
IV,107,107,1,,none,"Not to be used in eye
products",,,,,,,
IV,108,108,1,,none,,,,,,,,
IV,109,109,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160b)",
IV,110,110,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160d)",
IV,111,111,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160a)",
IV,112,112,1,,none,,,,,,,,
IV,113,113,1,,none,,,,,,,,
IV,114,114,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 100)",
IV,115,115,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 120)",
IV,116,116,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 140, E 141)",
IV,117,117,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 173)",
IV,118,118,1,,none,,,,,,,,
IV,119,119,1,,none,,,,,,,,
IV,120,120,1,,none,,,,,,,,
IV,121,121,1,,none,,,,,,,,
IV,122,122,1,,none,,,,,,,,
IV,123,123,1,,none,,,,,,,,
IV,124,124,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 170)",
IV,125,125,1,,none,,,,,,,,
IV,126,126,1,,none,,,,,,,"Purity > 97 %, with the
following impurity profile:
Ash content ≤ 0,15 %, total
sulphur ≤ 0,65 %, total
PAH ≤ 500 ppb and benzo
(a)pyrene ≤ 5 ppb, dibenz
(a,h)anthracene
≤ 5 ppb, total As ≤ 3 ppm,
total Pb ≤ 10 ppm, total Hg
≤ 1 ppm.",
IV,127,126a,1,,none,,10 %,10.0,%,,,"Not to be used in applications that may lead to
exposure of the end user's
lungs by inhalation.
Only nanomaterials having
the following characteristics
are allowed:
— Purity > 97 %, with the
following impurity
profile: Ash content ≤
0,15 %, total sulphur ≤
0,65 %, total PAH ≤
500 ppb and benzo(a)
pyrene ≤ 5 ppb, dibenz
(a,h)anthracene ≤ 5
ppb, total As ≤ 3 ppm,
total Pb ≤ 10 ppm, and
total Hg ≤ 1 ppm;
— Primary particle size ≥
20 nm.",
IV,128,127,1,,none,,,,,,,,
IV,129,128,1,,none,,,,,,,,
IV,130,129,1,,none,,,,,,,free from chromate ion,
IV,131,130,1,,none,,,,,,,free from chromate ion,
IV,132,131,1,,none,,,,,,,,
IV,133,132,1,,none,,,,,,,,
IV,134,133,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 175)",
IV,135,134,1,,none,,,,,,,,
IV,136,135,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 172)",
IV,137,136,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 172)",
IV,138,137,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 172)",
IV,139,138,1,,none,,,,,,,free from cyanide ions,
IV,140,139,1,,none,,,,,,,,
IV,141,140,1,,none,,,,,,,,
IV,142,141,1,,none,,,,,,,,
IV,143,142,1,a,label,(a) Lip products,"For (a) and
(b): 0,2 %",0.2,%,,,,
IV,143,142,2,b,label,(b) Eye shadow,"For (a) and
(b): 0,2 %",0.2,%,,,,
IV,144,143,1,,none,,,,,,,"— Purity criteria as set out
in Commission
Directive 95/45/E (E
171)
— Titanium dioxide in
powder form
containing 1 % or more
of particles with
aerodynamic diameter
≤ 10 μm, to be used in
compliance with Annex
III, No 321",
IV,145,144,1,,none,,,,,,,"Not to be used in applications that may lead to
exposure of the end-user's
lungs by inhalation.",
IV,146,145,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 101)",
IV,147,146,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 150a-d)",
IV,148,147,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160c)",
IV,149,148,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 162)",
IV,150,149,1,,none,,,,,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 163)",
IV,151,150,1,,none,,,,,,,,
IV,152,151,1,,none,Rinse-off products,,,,,,,
IV,153,152,1,,none,Rinse-off products,,,,,,,
IV,154,153,1,,none,"Not to be used in products
applied on mucous
membranes",,,,,,,
