annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
IV,1,1,0,active,▼B,,385,"Sodium tris(1,2-naphthoquinone 1-oximato-O,O')
ferrate(1-)",10006,,,,Green,Rinse-off products,,,,0
IV,2,2,0,active,▼B,,385,"Trisodium tris[5,6-dihydro-5-
(hydroxyimino)-6-oxonaphthalene-2-sulphonato(2-)-
N5,O6]ferrate(3-)",10020,,,,Green,"Not to be used in products
applied on mucous
membranes",,,,0
IV,3,3,0,active,▼B,,385,"Disodium 5,7-dinitro-8-
oxidonaphthalene-2-sulphonate
and its insoluble barium,
strontium and zirconium lakes,
salts and pigments",10316,,,,Yellow,"Not to be used in eye
products",,,,0
IV,4,4,0,active,▼B,,385,"2-[(4-Methyl-2-nitrophenyl)
azo]-3-oxo-N-phenylbutyramide",11680,,,,Yellow,"Not to be used in products
applied on mucous
membranes",,,,0
IV,5,5,0,active,▼B,,385,"2-[(4-Chloro-2-nitrophenyl)
azo]-N-(2-chlorophenyl)-3-
oxobutyramide",11710,,,,Yellow,"Not to be used in products
applied on mucous
membranes",,,,0
IV,6,6,0,active,▼B,,386,"2-[(4-Methoxy-2-nitrophenyl)
azo]-3-oxo-N-(o-tolyl)butyramide",11725,,,,Orange,Rinse-off products,,,,0
IV,7,7,0,active,▼B,,386,4-(Phenylazo)resorcinol,11920,,,,Orange,,,,,0
IV,8,8,0,active,▼B,,386,"4-[(4-Ethoxyphenyl)azo]
naphthol",12010,,,,Red,"Not to be used in products
applied on mucous
membranes",,,,0
IV,9,9,0,active,▼B,,386,"1-[(2-Chloro-4-nitrophenyl)
azo]-2-naphthol and its
insoluble barium, strontium
and zirconium lakes, salts and
pigments",12085,,,,Red,,3 %,,,0
IV,10,10,0,active,▼B,,386,"1-[(4-Methyl-2-nitrophenyl)
azo]-2-naphthol",12120,,,,Red,Rinse-off products,,,,0
IV,11,11,0,active,▼B,,386,"3-Hydroxy-N-(o-tolyl)-4-
[(2,4,5-trichlorophenyl)azo]
naphthalene-2-carboxamide",12370,,,,Red,Rinse-off products,,,,0
IV,12,12,0,active,▼B,,386,"N-(4-Chloro-2-methylphenyl)-
4-[(4-chloro-2-methylphenyl)
azo]-3-hydroxynaphthalene-2-
carboxamide",12420,,,,Red,Rinse-off products,,,,0
IV,13,13,0,active,▼B,,387,"4-[(2,5-Dichlorophenyl)azo]-
N-(2,5-dimethoxyphenyl)-3-
hydroxynaphthalene-2-carboxamide",12480,,,,Brown,Rinse-off products,,,,0
IV,14,14,0,active,▼B,,387,"N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)
sulphonyl]-2-methoxyphenyl]
azo]-3-hydroxynaphthalene-2-
carboxamide",12490,,,,Red,,,,,0
IV,15,15,0,active,▼B,,387,"2,4-Dihydro-5-methyl-2-
phenyl-4-(phenylazo)-3H-
pyrazol-3-one",12700,,,,Yellow,Rinse-off products,,,,0
IV,16,16,0,active,▼B,,387,"Disodium 2-amino-5-[(4-
sulphonatophenyl)azo]
benzenesulphonate",13015,,,,Yellow,,,,,0
IV,17,17,0,active,▼B,,387,"Sodium 4-(2,4-dihydroxyphenylazo)benzenesulphonate",14270,,,,Orange,,,,,0
IV,18,18,0,active,▼B,,387,"Disodium 3-[(2,4-dimethyl-5-
sulphonatophenyl)azo]-4-
hydroxynaphthalene-1-
sulphonate",14700,,,,Red,,,,,0
IV,19,19,0,active,▼B,,387,"Disodium 4-hydroxy-3-[(4-
sulphonatonaphthyl)azo]naphthalenesulphonate",14720,,,222-657-4,Red,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 122)",,0
IV,20,20,0,active,▼B,,388,"Disodium 6-[(2,4-dimethyl-6-
sulphonatophenyl)azo]-5-
hydroxynaphthalene-1-
sulphonate",14815,,,,Red,,,,,0
IV,21,21,0,active,▼B,,388,"Sodium 4-[(2-hydroxy-1-
naphthyl)azo]benzenesulphonate and its insoluble
barium, strontium and
zirconium lakes, salts and
pigments",15510,,,,Orange,"Not to be used in eye
products",,,,0
IV,22,22,0,active,▼B,,388,"Calcium disodium bis[2-
chloro-5-[(2-hydroxy-1-
naphthyl)azo]-4-sulphonatobenzoate]",15525,,,,Red,,,,,0
IV,23,23,0,active,▼B,,388,"Barium bis[4-[(2-hydroxy-1-
naphthyl)azo]-2-methylbenzenesul-phonate]",15580,,,,Red,,,,,0
IV,24,24,0,active,▼B,,388,"Sodium 4-[(2-Hydroxy-1-
naphthyl)azo]naphthalenesulphonate",15620,,,,Red,Rinse-off products,,,,0
