annex,entry_seq,ref_no,seq,colour_index,inci_name,cas,ec,split_ok
IV,1,1,1,10006,,,,1
IV,2,2,1,10020,,,,1
IV,3,3,1,10316,,,,1
IV,4,4,1,11680,,,,1
IV,5,5,1,11710,,,,1
IV,6,6,1,11725,,,,1
IV,7,7,1,11920,,,,1
IV,8,8,1,12010,,,,1
IV,9,9,1,12085,,,,1
IV,10,10,1,12120,,,,1
IV,11,11,1,12370,,,,1
IV,12,12,1,12420,,,,1
IV,13,13,1,12480,,,,1
IV,14,14,1,12490,,,,1
IV,15,15,1,12700,,,,1
IV,16,16,1,13015,,,,1
IV,17,17,1,14270,,,,1
IV,18,18,1,14700,,,,1
IV,19,19,1,14720,,,222-657-4,1
IV,20,20,1,14815,,,,1
IV,21,21,1,15510,,,,1
IV,22,22,1,15525,,,,1
IV,23,23,1,15580,,,,1
IV,24,24,1,15620,,,,1
IV,25,25,1,15630,,,,1
IV,26,26,1,15800,,,,1
IV,27,27,1,15850,,,226-109-5,1
IV,28,28,1,15865,,,,1
IV,29,29,1,15880,,,,1
IV,30,30,1,15980,,,,1
IV,31,31,1,15985,,,220-491-7,1
IV,32,32,1,16035,,,247-368-0,1
IV,33,33,1,16185,,,213-022-2,1
IV,34,34,1,16230,,,,1
IV,35,35,1,16255,,,220-036-2,1
IV,36,36,1,16290,,,,1
IV,37,37,1,17200,,,,1
IV,38,38,1,18050,,,223-098-9,1
IV,39,39,1,18130,,,,1
IV,40,40,1,18690,,,,1
IV,41,41,1,18736,,,,1
IV,42,42,1,18820,,,,1
IV,43,43,1,18965,,,,1
IV,44,44,1,19140,,,217-699-5,1
IV,45,45,1,20040,,,,1
IV,46,46,1,20470,,,,1
IV,47,47,1,21100,,,,1
IV,48,48,1,21108,,,,1
IV,49,49,1,21230,,,,1
IV,50,50,1,24790,,,,1
IV,51,51,1,26100,,,,1
IV,52,52,1,27755,,,,1
IV,53,53,1,28440,,,219-746-5,1
IV,54,54,1,40215,,,,1
IV,55,55,1,40800,,,230-636-6,1
IV,56,56,1,40820,,,,1
IV,57,57,1,40825,,,214-173-7,1
IV,58,58,1,40850,,,208-187-2,1
IV,59,59,1,42045,,,,1
IV,60,60,1,42051,,,222-573-8,1
IV,61,61,1,42053,,,,1
IV,62,62,1,42080,,,,1
IV,63,63,1,42090,,,223-339-8,1
IV,64,64,1,42100,,,,1
IV,65,65,1,42170,,,,1
IV,66,66,1,42510,,,,1
IV,67,67,1,42520,,,,1
IV,68,68,1,42735,,,,1
IV,69,69,1,44045,,,,1
IV,70,70,1,44090,,,221-409-2,1
IV,71,71,1,45100,,,,1
IV,72,72,1,45190,,,,1
IV,73,73,1,45220,,,,1
IV,74,74,1,45350,,,,1
IV,75,75,1,45370,,,,1
IV,76,76,1,45380,,,,1
IV,77,77,1,45396,,,,1
IV,78,78,1,45405,,,,1
IV,79,79,1,45410,,,,1
IV,80,80,1,45430,,,240-474-8,1
IV,81,81,1,47000,,,,1
IV,82,82,1,47005,,,305-897-5,1
IV,83,83,1,50325,,,,1
IV,84,84,1,50420,,,,1
IV,85,85,1,51319,,,,1
IV,86,86,1,58000,,,,1
IV,87,87,1,59040,,,,1
IV,88,88,1,60724,,,,1
IV,89,89,1,60725,,,,1
IV,90,90,1,60730,,,,1
IV,91,91,1,61565,,,,1
IV,92,92,1,61570,,,,1
IV,93,93,1,61585,,,,1
IV,94,94,1,62045,,,,1
IV,95,95,1,69800,,,,1
IV,96,96,1,69825,,,,1
IV,97,97,1,71105,,,,1
IV,98,98,1,73000,,,,1
IV,99,99,1,73015,,,212-728-8,1
IV,100,100,1,73360,,,,1
IV,101,101,1,73385,,,,1
IV,102,102,1,73900,,,,1
IV,103,103,1,73915,,,,1
IV,104,104,1,74100,,,,1
IV,105,105,1,74160,,,,1
IV,106,106,1,74180,,,,1
IV,107,107,1,74260,,,,1
IV,108,108,1,75100,,,,1
IV,109,109,1,75120,,,"215-735-4, 289-561-2, 230-248-7",1
IV,110,110,1,75125,,,,1
IV,111,111,1,75130,,,214-171-6,1
IV,112,112,1,75135,,,,1
IV,113,113,1,75170,,,,1
IV,114,114,1,75300,,,207-280-5,1
IV,115,115,1,75470,,,"215-680-6, 215-023-3, 215-724-4",1
IV,116,116,1,75810,,,"215-800-7, 207-536-6, 208-272-4, 287-483-3, 239-830-5, 246-020-5",1
IV,117,117,1,77000,,,231-072-3,1
IV,118,118,1,77002,,,,1
IV,119,119,1,77004,,,,1
IV,120,120,1,77007,,,,1
IV,121,121,1,77015,,,,1
IV,122,122,1,77120,,,,1
IV,123,123,1,77163,,,,1
IV,124,124,1,77220,,,"207-439-9, 215-279-6",1
IV,125,125,1,77231,,,,1
IV,126,126,1,77266,,"1333-86-4, 7440-44-0","215-609-9, 231-153-3, 931-328-0, 931-334-3",1
IV,127,126a,1,77266 (nano),Carbon Black (nano),"1333-86-4, 7440-44-0","215-609-9, 231-153-3, 931-328-0, 931-334-3",0
IV,128,127,1,77267,,,,1
IV,129,128,1,77268:1,,,,1
IV,130,129,1,77288,,,,1
IV,131,130,1,77289,,,,1
IV,132,131,1,77346,,,,1
IV,133,132,1,77400,,,,1
IV,134,133,1,77480,,,231-165-9,1
IV,135,134,1,77489,,,,1
IV,136,135,1,77491,,,215-168-2,1
IV,137,136,1,77492,,51274-00-1,257-098-5,1
IV,138,137,1,77499,,,235-442-5,1
IV,139,138,1,77510,,,,1
IV,140,139,1,77713,,,,1
IV,141,140,1,77742,,,,1
IV,142,141,1,77745,,,,1
IV,143,142,1,77820,,7440-22-4,231-131-3,1
IV,144,143,1,77891,,,236-675-5,1
IV,145,144,1,77947,,1314-13-2,215-222-5,1
IV,146,145,1,,Lactoflavin,,"201-507-1, 204-988-6",1
IV,147,146,1,,Caramel,,232-435-9,1
IV,148,147,1,,Capsanthin,,207-364-1,1
IV,148,147,2,,capsorubin,,207-425-2,1
IV,149,148,1,,Beetroot Red,7659-95-2,231-628-5,1
IV,150,149,1,,Anthocyanins,"528-58-5, 134-01-0, 528-53-0, 643-84-5, 134-04-3","208-438-6, 205-125-6, 211-403-8, 208-437-0, 205-127-7",1
IV,151,150,1,,Aluminum stearate Zinc stearate Magnesium stearate Calcium stearate,"7047-84-9, 557-05-1, 557-04-0","230-325-5, 209-151-9, 209-150-3, 216-472-8",0
IV,152,151,1,,Bromothymol blue,76-59-5,200-971-2,1
IV,153,152,1,,Bromocresol green,76-60-8,200-972-8,1
IV,154,153,1,,Acid red 195,12220-24-5,,1
