annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
V,1,1,1,,aligned,"Rinse-off products,
except oral
products","2,5 % (acid)",2.5,%,acid,,,
V,1,1,2,,aligned,Oral products,"1,7 % (acid)",1.7,%,acid,,,
V,1,1,3,,aligned,Leave-on products,"0,5 % (acid)",0.5,%,acid,,,
V,2,1a,1,,none,,"0,5 % (acid)",0.5,%,acid,,,
V,3,2,1,,none,,2 % (acid),2.0,%,acid,,,
V,4,3,1,,rule,,"0,5 % (acid)",0.5,%,acid,,"Not to be used in
products for
children under 3
years of age.
Not to be used in
oral products.
Not to be used in
applications that
may lead to
exposure of the
end-user’s lungs
by inhalation.","Not to be used
for children
under 3 years of
age (12)"
V,4,3,2,,rule,,"0,5 % (acid)",0.5,%,acid,,"Not to be used in
products for
children under 3
years of age,
except for
shampoos.","Not to be used
for children
under 3 years of
age (2)"
V,5,4,1,,none,,"0,6 % (acid)",0.6,%,acid,,,
V,6,5,1,,none,,,,,,,,
V,7,6,1,,none,,,,,,,,
V,8,7,1,a,label,"(a) Rinse-off
products","(a) 0,2 % (as
phenol",0.2,%,,,"When o-
Phenylphenol and
Sodium o-
Phenylphenate are
used together, the
combined concentration (as phenol)
shall not exceed
0,2 % in rinse-off
and 0,15 % in
leave-on products.
Not to be used in
applications that
may lead to
exposure of the
end-user’s lungs
by inhalation. Not
to be used in oral
products.","Avoid contact
with eyes"
V,8,7,2,b,label,"(b) Leave-on
products","(b) 0,15 % (as
phenol)",0.15,%,phenol,,"When o-
Phenylphenol and
Sodium o-
Phenylphenate are
used together, the
combined concentration (as phenol)
shall not exceed
0,2 % in rinse-off
and 0,15 % in
leave-on products.
Not to be used in
applications that
may lead to
exposure of the
end-user’s lungs
by inhalation. Not
to be used in oral
products.","Avoid contact
with eyes"
V,9,8,1,,none,,,,,,,,
V,10,9,1,,none,,"0,2 % (as free SO2)",0.2,%,free SO2,,,
V,11,10,1,,none,,,,,,,,
V,12,11,1,,none,,"0,5 %",0.5,%,,,"Not to be used in
aerosol dispensers
(sprays)",Contains Chlorobutanol
V,13,12,1,,none,,"0,4 % (as acid) for
single ester
0,8 % (as acid) for
mixtures of esters",0.4,%,acid,"[0.4, 0.8]",,
V,14,12a,1,,none,,"0,14 % (as acid) for
the sum of the individual concentrations
0,8 % (as acid) for
mixtures of
substances
mentioned in entry
12 and 12a, where
the sum of the individual concentrations of butyl-
and propylparaben
and their salts does
not exceed 0,14 %",0.14,%,acid,"[0.14, 0.8, 0.14]","Not to be used in
leave-on products
designed for
application on the
nappy area of
children under
three years of age.","For leave-on
products
designed for
children under
three years of
age:
‘Do not use on
the nappy area’"
V,15,13,1,,none,,"0,6 % (as acid)",0.6,%,acid,,"Not to be used in
aerosol dispensers
(sprays)",
V,16,14,1,,none,,"0,5 % (as acid)",0.5,%,acid,,,
V,17,15,1,,none,,"0,1 %",0.1,%,,,,
V,18,16,1,,none,Eye products,"0,007 % (of Hg)
If mixed with other
mercurial
compounds authorised by this
Regulation, the
maximum concentration of Hg
remains fixed at
0,007 %",0.007,%,Hg,"[0.007, 0.007]",,"Contains
Thiomersal"
V,19,17,1,,none,Eye products,"0,007 % (of Hg)
If mixed with other
mercurial
compounds authorised by this
Regulation, the
maximum concentration of Hg
remains fixed at
0,007 %",0.007,%,Hg,"[0.007, 0.007]",,"Contains
Phenylmercuric
compounds"
V,20,18,1,,none,,"0,2 % (as acid)",0.2,%,acid,,,
V,21,19,1,,none,,"0,1 %",0.1,%,,,,
V,22,20,1,,none,Rinse-off products,"0,1 %",0.1,%,,,"Avoid formation
of nitrosamines",
V,23,21,1,,none,,"0,1 %",0.1,%,,,"Avoid formation
of nitrosamines",
V,24,22,1,,none,,"0,15 %",0.15,%,,,,
V,25,23,1,,none,"All cosmetic
products, with the
exception of
mouthwash.","0,2 %",0.2,%,,,"Purity criteria:
3,3',4,4'-Tetrachloroazobenzene
≤ 1 ppm
3,3',4,4'-Tetrachloroazoxybenzene
≤ 1 ppm
Not to be used in
toothpaste
intended for
children under 6
years of age.","For toothpaste
containing Triclocarban the
following
labelling is
obligatory: ‘Not
to be used for
children under 6
years of age’."
V,26,24,1,,none,"Not to be used in
products applied on
mucuous
membranes","0,2 %",0.2,%,,,,
V,27,25,1,,none,"Toothpastes; Hand
soaps; Body soaps/
Shower gels;
Deodorants (non-
spray); Face
powders and
blemish concealers;
Nail products for
cleaning the
fingernails and
toenails before the
application of
artificial nail
systems;","0,3 %",0.3,%,,,"Not to be used in
toothpaste
intended for
children under 3
years of age.","For toothpaste
containing
Triclosan the
following
labelling is
obligatory: ‘Not
to be used for
children under 3
years of age’."
V,28,26,1,,none,,"0,5 %",0.5,%,,,,
V,29,27,1,,none,,"0,6 %",0.6,%,,,,
V,30,28,1,,none,,"0,1 %",0.1,%,,,"Not to be used in
applications that
may lead to
exposure of the
end-user's lungs
by inhalation",
V,31,29,1,,none,,"1,0 %",1.0,%,,,,
