annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
V,1,1,0,active,▼B,,413,"Benzoic acid and its
sodium salt",,"Benzoic acid
Sodium Benzoate","65-85-0
532-32-1","200-618-2
208-534-8",,"Rinse-off products,
except oral
products
Oral products
Leave-on products","2,5 % (acid)
1,7 % (acid)
0,5 % (acid)",,,0
V,2,1a,0,active,▼B,,"413,414","Salts of benzoic acid
other than that listed
under reference
number 1 and esters
of benzoic acid",,"Ammonium benzoate,
calcium benzoate,
potassium benzoate,
magnesium benzoate,
MEA-benzoate, methyl
benzoate, ethyl
benzoate, propyl
benzoate, butyl
benzoate, isobutyl
benzoate, isopropyl
benzoate, phenyl
benzoate","1863-63-4, 2090-05-3,
582-25-2, 553-70-8,
4337-66-0, 93-58-3,
93-89-0, 2315-68-6,
136-60-7, 120-50-3,
939-48-0, 93-99-2","217-468-9,
218-235-4,
209-481-3,
209-045-2,
224-387-2,
202-259-7,
202-284-3,
219-020-8,
205-252-7,
204-401-3,
213-361-6,
202-293-2",,,"0,5 % (acid)",,,0
V,3,2,0,active,▼B,,414,"Propionic acid and its
salts",,"Propionic acid,
ammonium propionate,
calcium propionate,
magnesium propionate,
potassium propionate,
sodium propionate","79-09-4, 17496-08-1,
4075-81-4, 557-27-7,
327-62-8, 137-40-6","201-176-3,
241-503-7,
223-795-8,
209-166-0,
206-323-5,
205-290-4",,,2 % (acid),,,0
V,4,3,0,active,▼M36 ▼C6,,414,"Salicylic acid (1) and
its salts",,"Salicylic acid
Calcium salicylate,
magnesium salicylate,
MEA- salicylate,
sodium salicylate,
potassium salicylate,
TEA- salicylate","69-72-7
824-35-1, 18917-89-0,
59866- 70-5, 54-21-7,
578-36-9, 2174-16-5","200-712-3
212-525-4,
242-669-3,
261-963-2,
200-198-0,
209-421-6,
218-531-3",,,"0,5 % (acid)
0,5 % (acid)","Not to be used in
products for
children under 3
years of age.
Not to be used in
oral products.
Not to be used in
applications that
may lead to
exposure of the
end-user’s lungs
by inhalation.
Not to be used in
products for
children under 3
years of age,
except for
shampoos.","Not to be used
for children
under 3 years of
age (12)
Not to be used
for children
under 3 years of
age (2)",0
V,5,4,0,active,▼B,,415,"Hexa-2,4-dienoic acid
and its salts",,"Sorbic acid, calcium
sorbate, sodium
sorbate, potassium
sorbate","110-44-1, 7492-55-9,
7757-81-5, 24634-61-5","203-768-7,
231-321-6,
231-819-3,
246-376-1",,,"0,6 % (acid)",,,0
V,6,5,1,deleted,▼M32,,415,,,,,,,,,,,0
V,7,6,0,moved_or_deleted,▼B,,415,Moved or deleted,,,,,,,,,,0
V,8,7,0,active,▼M53,,415,"Biphenyl-2-ol; 2-
phenylphenol; 2-
hydroxybiphenyl
Sodium 2-biphenylate",,"o-Phenylphenol
Sodium o-Phenylphenate","90-43-7
132-27-4","201-993-5
205-055-6",,"(a) Rinse-off
products
(b) Leave-on
products","(a) 0,2 % (as
phenol
(b) 0,15 % (as
phenol)","When o-
Phenylphenol and
Sodium o-
Phenylphenate are
used together, the
combined concentration (as phenol)
shall not exceed
0,2 % in rinse-off
and 0,15 % in
leave-on products.
Not to be used in
applications that
may lead to
exposure of the
end-user’s lungs
by inhalation. Not
to be used in oral
products.","Avoid contact
with eyes",0
V,9,8,1,deleted,▼M42,,416,,,,,,,,,,,0
V,10,9,0,active,▼B,,416,"Inorganic sulphites
and hydrogen-
sulphites (5)",,"Sodium sulfite,
ammonium bisulfite,
ammonium sulfite,
potassium sulfite,
potassium hydrogen
sulfite, sodium
bisulfite, sodium
metabisulfite,
potassium metabisulfite","7757-83-7, 10192-30-
0, 10196-04-0, 10117-
38-1, 7773-03-7,
7631-90-5, 7681-57-4,
16731-55-8","231-821-4,
233-469-7,
233-484-9,
233-321-1,
231-870-1,
231-548-0,
231-673-0,
240-795-3",,,"0,2 % (as free SO2)",,,0
V,11,10,0,moved_or_deleted,▼B,,416,Moved or deleted,,,,,,,,,,0
V,12,11,0,active,▼B,,416,Chlorobutanol,,Chlorobutanol,57-15-8,200-317-6,,,"0,5 %","Not to be used in
aerosol dispensers
(sprays)",Contains Chlorobutanol,0
V,13,12,0,active,▼M8,,417,"4-Hydroxybenzoic
acid and its Methyl-
and Ethyl-esters, and
their salts",,"4-Hydroxybenzoic acid
methylparaben
potassium ethylparaben
potassium paraben
sodium methylparaben
sodium ethylparaben
ethylparaben
sodium paraben
potassium methylparaben
calcium paraben","99-96-7
99-76-3
36457-19-9
16782-08-4
5026-62-0
35285-68-8
120-47-8
114-63-6
26112-07-2
69959-44-0","202-804-9
202-785-7
253-048-1
240-830-2
225-714-1
252-487-6
204-399-4
204-051-1
247-464-2
274-235-4",,,"0,4 % (as acid) for
single ester
0,8 % (as acid) for
mixtures of esters",,,0
V,14,12a,0,active,▼M8,,417,"Butyl 4-hydroxybenzoate and its salts
Propyl 4-hydroxybenzoate and its salts",,"Butylparaben
propylparaben
sodium propylparaben
sodium butylparaben
potassium butylparaben
potassium
propylparaben","94-26-8
94-13-3
35285-69-9
36457-20-2
38566-94-8
84930-16-5","202-318-7
202-307-7
252-488-1
253-049-7
254-009-1
284-597-5",,,"0,14 % (as acid) for
the sum of the individual concentrations
0,8 % (as acid) for
mixtures of
substances
mentioned in entry
12 and 12a, where
the sum of the individual concentrations of butyl-
and propylparaben
and their salts does
not exceed 0,14 %","Not to be used in
leave-on products
designed for
application on the
nappy area of
children under
three years of age.","For leave-on
products
designed for
children under
three years of
age:
‘Do not use on
the nappy area’",0
V,15,13,0,active,▼B,,418,"3-Acetyl-6-methylpyran-2,4 (3H)-dione
and its salts",,"Dehydroacetic acid,
sodium dehydroacetate","520-45-6, 4418-26-2,
16807-48-0","208-293-9,
224-580-1",,,"0,6 % (as acid)","Not to be used in
aerosol dispensers
(sprays)",,1
V,16,14,0,active,▼B,,418,"Formic acid and its
sodium salt",,"Formic acid, sodium
formate","64-18-6, 141-53-7","200-579-1,
205-488-0",,,"0,5 % (as acid)",,,0
V,17,15,0,active,▼B,,418,"3,3'-Dibromo-4,4'-
hexamethylenedioxydi-benzamidine
and its salts (including
isethionate)",,"Dibromohexamidine
Isethionate",93856-83-8,299-116-4,,,"0,1 %",,,0
