annex,marker,text,amended_by
V,1,"For uses other than preservative, see Annex III, No 98.",
V,2,Solely for products which might be used for children under 3 years of age and which remain in prolonged contact with the skin.,
V,3,(deleted),►M32
V,4,(deleted),►M42
V,5,"For use other than as a preservative, see Annex III, No. 99.",
V,6,"For use other than as a preservative, see Annex III, No. 100.",
V,7,"For other uses than preservatives, see Annex III, entry No 45.",►M1
V,8,"For use other than as a preservative, see Annex III, No. 54.",
V,9,"Only if the concentration exceeds 0,05 %.",
V,10,"For use other than as a preservative, see Annex III, No. 65.",
V,11,"Solely for products, other than bath products/shower gels and shampoo, which might be used for children under 3 years of age.",
V,12,Solely for products which might be used for children under 3 years of age.,
V,13,Concerns any products aimed to be applied on a large part of the body.,
V,14,"For other uses than preservatives, see Annex III, entry No 197.",►M15
V,15,"For use other than as a preservative, see Annex III, No 287.",►M6 ►C2
V,16,"For use other than as a preservative, see Annex III, No 286.",
V,17,Methylisothiazolinone is also regulated in entry 57. The two entries are mutually exclusive: the use of the mixture of Methylchloroisothiazolinone (and) Methylisothiazolinone is incompatible with the use of Methylisothiazolinone alone in the same product.,►M7
V,18,Methylisothiazolinone is also regulated in entry 39 of Annex V in a mixture with methylchloroisothiazolinone. The two entries are mutually exclusive: the use of the mixture of Methylchloro­ isothiazolinone (and) Methylisothiazolinone is incompatible with the use of Methylisothiazolinone alone in the same product.,►M22
V,19,From 17 June 2019 cosmetic products containing Biphenyl-2-ol and not complying with those conditions shall not be placed on the Union market. From 17 September 2019 cosmetic products containing Biphenyl-2-ol and not complying with those conditions shall not be made available on the Union market.,►M28
V,20,"For use other than as a preservative, see Annex III, entry 310.",►M31
V,21,"From 27 November 2019 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be placed on the Union market. From 27 February 2020 cosmetic products containing 1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one and not complying with those conditions shall not be made available on the Union market.",
V,22,"Cosmetic products containing that substance that do not comply with the conditions may, provided that they comply with the conditions applicable on 23 April 2024, be placed on the Union market until 31 December 2024 and, if they have already been placed on the market before that date, continue to be made available on the Union market until 31 October 2025.",
