annex,entry_seq,ref_no,seq,colour_index,inci_name,cas,ec,split_ok
V,1,1,1,,Benzoic acid,65-85-0,200-618-2,1
V,1,1,2,,Sodium Benzoate,532-32-1,208-534-8,1
V,2,1a,1,,Ammonium benzoate,1863-63-4,217-468-9,1
V,2,1a,2,,calcium benzoate,2090-05-3,218-235-4,1
V,2,1a,3,,potassium benzoate,582-25-2,209-481-3,1
V,2,1a,4,,magnesium benzoate,553-70-8,209-045-2,1
V,2,1a,5,,MEA-benzoate,4337-66-0,224-387-2,1
V,2,1a,6,,methyl benzoate,93-58-3,202-259-7,1
V,2,1a,7,,ethyl benzoate,93-89-0,202-284-3,1
V,2,1a,8,,propyl benzoate,2315-68-6,219-020-8,1
V,2,1a,9,,butyl benzoate,136-60-7,205-252-7,1
V,2,1a,10,,isobutyl benzoate,120-50-3,204-401-3,1
V,2,1a,11,,isopropyl benzoate,939-48-0,213-361-6,1
V,2,1a,12,,phenyl benzoate,93-99-2,202-293-2,1
V,3,2,1,,Propionic acid,79-09-4,201-176-3,1
V,3,2,2,,ammonium propionate,17496-08-1,241-503-7,1
V,3,2,3,,calcium propionate,4075-81-4,223-795-8,1
V,3,2,4,,magnesium propionate,557-27-7,209-166-0,1
V,3,2,5,,potassium propionate,327-62-8,206-323-5,1
V,3,2,6,,sodium propionate,137-40-6,205-290-4,1
V,4,3,1,,Salicylic acid,69-72-7,200-712-3,1
V,4,3,2,,Calcium salicylate,824-35-1,212-525-4,1
V,4,3,3,,magnesium salicylate,18917-89-0,242-669-3,1
V,4,3,4,,MEA- salicylate,59866-70-5,261-963-2,1
V,4,3,5,,sodium salicylate,54-21-7,200-198-0,1
V,4,3,6,,potassium salicylate,578-36-9,209-421-6,1
V,4,3,7,,TEA- salicylate,2174-16-5,218-531-3,1
V,5,4,1,,Sorbic acid,110-44-1,203-768-7,1
V,5,4,2,,calcium sorbate,7492-55-9,231-321-6,1
V,5,4,3,,sodium sorbate,7757-81-5,231-819-3,1
V,5,4,4,,potassium sorbate,24634-61-5,246-376-1,1
V,6,5,1,,,,,1
V,7,6,1,,,,,1
V,8,7,1,,o-Phenylphenol,90-43-7,201-993-5,1
V,8,7,2,,Sodium o-Phenylphenate,132-27-4,205-055-6,1
V,9,8,1,,,,,1
V,10,9,1,,Sodium sulfite,7757-83-7,231-821-4,1
V,10,9,2,,ammonium bisulfite,10192-30-0,233-469-7,1
V,10,9,3,,ammonium sulfite,10196-04-0,233-484-9,1
V,10,9,4,,potassium sulfite,10117-38-1,233-321-1,1
V,10,9,5,,potassium hydrogen sulfite,7773-03-7,231-870-1,1
V,10,9,6,,sodium bisulfite,7631-90-5,231-548-0,1
V,10,9,7,,sodium metabisulfite,7681-57-4,231-673-0,1
V,10,9,8,,potassium metabisulfite,16731-55-8,240-795-3,1
V,11,10,1,,,,,1
V,12,11,1,,Chlorobutanol,57-15-8,200-317-6,1
V,13,12,1,,4-Hydroxybenzoic acid,99-96-7,202-804-9,1
V,13,12,2,,methylparaben,99-76-3,202-785-7,1
V,13,12,3,,potassium ethylparaben,36457-19-9,253-048-1,1
V,13,12,4,,potassium paraben,16782-08-4,240-830-2,1
V,13,12,5,,sodium methylparaben,5026-62-0,225-714-1,1
V,13,12,6,,sodium ethylparaben,35285-68-8,252-487-6,1
V,13,12,7,,ethylparaben,120-47-8,204-399-4,1
V,13,12,8,,sodium paraben,114-63-6,204-051-1,1
V,13,12,9,,potassium methylparaben,26112-07-2,247-464-2,1
V,13,12,10,,calcium paraben,69959-44-0,274-235-4,1
V,14,12a,1,,Butylparaben,94-26-8,202-318-7,1
V,14,12a,2,,propylparaben,94-13-3,202-307-7,1
V,14,12a,3,,sodium propylparaben,35285-69-9,252-488-1,1
V,14,12a,4,,sodium butylparaben,36457-20-2,253-049-7,1
V,14,12a,5,,potassium butylparaben,38566-94-8,254-009-1,1
V,14,12a,6,,potassium propylparaben,84930-16-5,284-597-5,1
V,15,13,1,,Dehydroacetic acid sodium dehydroacetate,"520-45-6, 4418-26-2, 16807-48-0","208-293-9, 224-580-1",0
V,16,14,1,,Formic acid,64-18-6,200-579-1,1
V,16,14,2,,sodium formate,141-53-7,205-488-0,1
