annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
VI,1,1,1,,none,,,,,,,,
VI,2,2,1,,none,,6 %,6.0,%,,,,
VI,3,3,1,,none,"Face products
with the
exception of
propellent
spray products","7,34 %",7.34,%,,,,
VI,4,4,1,a,label,"a) Face
products,
hand
products,
and lip
products,
excluding
propellant
and pump
spray
products",a) 6 %,6.0,%,,,"For a) and b) Not more than 0,5 %
to protect product formulation
a) If used at 0,5 % to protect
product formulation, the levels
used as UV filter must not exceed
5,5 %.","For a) and b):
Contains Benzophenone-3 (1)"
VI,4,4,2,b,label,"b) Body
products,
including
propellant
and pump
spray
products","b) 2,2 %",2.2,%,,,"For a) and b) Not more than 0,5 %
to protect product formulation
b) If used at 0,5 % to protect
product formulation, the levels
used as UV filter must not exceed
1,7 %.","For a) and b):
Contains Benzophenone-3 (1)"
VI,4,4,3,c,label,"c) Other
products","c) 0,5 %",0.5,%,,,"For a) and b) Not more than 0,5 %
to protect product formulation","For a) and b):
Contains Benzophenone-3 (1)"
VI,5,5,1,,none,,,,,,,,
VI,6,6,1,,none,,8 %(as acid),8.0,%,acid,,,
VI,7,7,1,,none,,10 %(as acid),10.0,%,acid,,,
VI,8,8,1,,none,,5 %,5.0,%,,,,
VI,9,9,1,,none,,6 % (as acid),6.0,%,acid,,,
VI,10,10,1,a,label,"a) Propellant
spray
products",a) 9 %,9.0,%,,,,
VI,10,10,2,b,label,"b) Other
products",b) 10 %,10.0,%,,,,
VI,11,11,1,,none,,6 %,6.0,%,,,,
VI,12,12,1,,none,,10 %,10.0,%,,,,
VI,13,13,1,,none,,10 %,10.0,%,,,,
VI,14,14,1,,none,,10 %,10.0,%,,,,
VI,15,15,1,,none,,5 %,5.0,%,,,,
VI,16,16,1,,none,,15 %,15.0,%,,,,
VI,17,17,1,,none,,10 %,10.0,%,,,,
VI,18,18-19,1,,none,,,,,,,,
VI,19,19,1,,none,,,,,,,,
VI,20,20,1,,none,,5 %,5.0,%,,,,
VI,21,21,1,,none,,8 %,8.0,%,,,,
VI,22,22,1,,none,,5 % (as acid),5.0,%,acid,,,
VI,23,23,1,,none,,10 % (5),10.0,%,,,,
VI,24,23a,1,,none,,10 % (5),10.0,%,,,"Not to be used in applications that
may lead to exposure of the end
user's lungs by inhalation.
Only nanomaterials having the
following characteristics are allowed:
— Purity ≥ 98,5 %, with 2,2′-
methylene-bis-(6(2H-benzotriazol-2-yl)-4-(isooctyl)phenol)
isomer fraction not exceeding
1,5 %;
— Solubility < 5 ng/L in water at
25 °C;
— Partition coefficient (Log Pow):
12,7 at 25 °C;
— Uncoated;
— Median particle size D50 (50 %
of the number below this diameter): ≥ 120 nm of mass
distribution and/or ≥ 60 nm of
number size distribution.",
VI,25,24,1,,none,,10 % (as acid),10.0,%,acid,,,
VI,26,25,1,,none,,10 %,10.0,%,,,,
VI,27,26,1,,none,,10 %,10.0,%,,,,
VI,28,27,1,,none,,25 % (4),25.0,%,,,"Titanium dioxide in powder form
containing 1 % or more of particles
with aerodynamic diameter ≤ 10 μm,
to be used in compliance with Annex
III, No 321. For the product types
under letter (c) of column (f) in
Annex III, No 321, the maximum
concentration in ready for use preparation provided in column (g) of
this entry applies.",
VI,29,27a,1,,none,,25 % (4),25.0,%,,,"Not to be used in applications that
may lead to exposure of the end-
user’s lungs by inhalation.
Only nanomaterials having the
following characteristics are allowed:
— purity ≥ 99 %,
— rutile form, or rutile with up to
5 % anatase, with crystalline
structure and physical appearance
as clusters of spherical, needle,
or lanceolate shapes,
— median particle size based on
number size distribution ≥
30 nm,
— aspect ratio from 1 to 4,5, and
volum2e spe3cific surface area ≤
460 m /cm ,
— coated with Silica, Hydrated
Silica, Alumina, Aluminium
Hydroxide, Aluminium Stearate,
Stearic Acid, Trimethoxycaprylylsilane, Glycerin, Dimethicone,
Hydrogen Dimethicone,
Simethicone,
or coated with one of the following
combinations:
— Silica at a maximum concentration of 16 % and Cetyl
Phosphate at a maximum
concentration of 6 %,
— Alumina at a maximum concentration of 7 % and Manganese
Dioxide at a maximum concentration of 0,7 % (not to be used
in lip products),
— Alumina at a maximum concentration of 3 % and Triethoxycaprylylsilane at a maximum
concentration of 9 %,
— photocatalytic activity ≤ 10 %
compared to corresponding non-
coated or non-doped reference,
— nanoparticles are photostable in
the final formulation.","For face products
containing
Titanium Dioxide
(nano) coated
with the
combination
Alumina and
Manganese
Dioxide:
Not to be used on
the lips."
VI,30,28,1,,none,,10 %,10.0,%,,,"Di-n-hexyl phthalate (DnHexP) as an
unavoidable trace impurity in DHHB
must not exceed 10 ppm.",
VI,31,29,1,,none,,10 %,10.0,%,,,"Not to be used in sprays.
Only nanomaterials having the
following characteristics are allowed:
— median primary particle size
> 80 nm;
— Purity ≥ 98 %;
— Uncoated",
VI,32,30,1,,none,,25 % (3),25.0,%,,,"Not to be used in applications that
may lead to exposure of the end-
user's lungs by inhalation.",
VI,33,30a,1,,none,,25 % (3),25.0,%,,,"Not to be used in applications that
may lead to exposure of the end-
user's lungs by inhalation.
Only nanomaterials having the
following characteristics are allowed:
— purity ≥ 96 %, with wurtzite
crystalline structure and physical
appearance as clusters that are
rod-like, star-like and/or
isometric shapes, with impurities
consisting only of carbon dioxide
and water, whilst any other impurities are less than 1 % in total,
— median diameter of the particle
number size distribution D50
(50 % of the number below this
diameter) > 30 nm and D1 (1 %
below this size) > 20 nm,
— water solubility < 50 mg/L
— uncoated, or coated with triethoxycaprylylsilane, dimethicone,
dimethoxydiphenylsilanetriethoxycaprylylsilane cross-
polymer, or octyl triethoxy
silane.",
VI,34,31,1,,none,,5 %,5.0,%,,,"Not to be used in applications that
may lead to exposure of the end
user's lungs by inhalation.",
VI,35,32,1,,none,,3 %,3.0,%,,,"— Not to be used in applications
that may lead to exposure of
the end-user’s lungs by inhalation
— Do not use with nitrosating
agents – Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free containers",
VI,36,33,1,,none,,10 % (9),10.0,%,,,,
VI,37,34,1,,none,,10 % (9),10.0,%,,,"Only nanomaterials having the
following characteristics are allowed:
— Purity ≥ 97 %
— Median particle size D50 (50 %
of the number below this diameter): ≥ 50 nm of number size
distribution.
Not to be used in applications that
may lead to exposure of the end
user’s lungs by inhalation.",
