annex,entry_seq,ref_no,seq,colour_index,inci_name,cas,ec,split_ok
VI,1,1,1,,,,,1
VI,2,2,1,,Camphor Benzalkonium Methosulfate,52793-97-2,258-190-8,1
VI,3,3,1,,Homosalate,118-56-9,204-260-8,1
VI,4,4,1,,Benzophenone-3,131-57-7,205-031-5,1
VI,5,5,1,,,,,1
VI,6,6,1,,Phenylbenzimidazole Sulfonic Acid,27503-81-7,248-502-0,1
VI,7,7,1,,Terephthalylidene Dicamphor Sulfonic Acid,"92761-26-7, 90457-82-2",410-960-6,0
VI,8,8,1,,Butyl Methoxydibenzoylmethane,70356-09-1,274-581-6,1
VI,9,9,1,,Benzylidene Camphor Sulfonic Acid,56039-58-8,,1
VI,10,10,1,,Octocrylene,6197-30-4,228-250-8,1
VI,11,11,1,,Polyacrylamidomethyl Benzylidene Camphor,113783-61-2,,1
VI,12,12,1,,Ethylhexyl Methoxycinnamate,5466-77-3,226-775-7,1
VI,13,13,1,,PEG-25 PABA,116242-27-4,,1
VI,14,14,1,,Isoamyl p-Methoxycinnamate,71617-10-2,275-702-5,1
VI,15,15,1,,Ethylhexyl Triazone,88122-99-0,402-070-1,1
VI,16,16,1,,Drometrizole Trisiloxane,155633-54-8,,1
VI,17,17,1,,Diethylhexyl Butamido Triazone,154702-15-5,,1
VI,18,18-19,1,,,,,1
VI,19,19,1,,,,,1
VI,20,20,1,,Ethylhexyl Salicylate,118-60-5,204-263-4,1
VI,21,21,1,,Ethylhexyl Dimethyl PABA,21245-02-3,244-289-3,1
VI,22,22,1,,Benzophenone-4 Benzophenone-5,"4065-45-6, 6628-37-1",223-772-2,0
VI,23,23,1,,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,103597-45-1,403-800-1,1
VI,24,23a,1,,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano),103597-45-1,403-800-1,1
VI,25,24,1,,Disodium Phenyl Dibenzimidazole Tetrasulfonate,180898-37-7,429-750-0,1
VI,26,25,1,,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,187393-00-6,,1
VI,27,26,1,,Polysilicone-15,207574-74-1,426-000-4,1
VI,28,27,1,,Titanium Dioxide,"13463-67-7, 1317-70-0, 1317-80-2","236-675-5, 215-280-1, 215-282-2",1
VI,29,27a,1,,Titanium Dioxide (nano),"13463-67-7, 1317-70-0, 1317-80-2","236-675-5, 215-280-1, 215-282-2",0
VI,30,28,1,,Diethylamino Hydroxybenzoyl Hexyl Benzoate (DHHB),302776-68-7,443-860-6,1
VI,31,29,1,,Tris-biphenyl triazine Tris-biphenyl triazine (nano),31274-51-8,,1
VI,32,30,1,,Zinc Oxide,1314-13-2,215-222-5,1
VI,33,30a,1,,Zinc Oxide (nano),1314-13-2,215-222-5,1
VI,34,31,1,,Phenylene Bis-Diphenyltriazine,55514-22-2,700-823-1,1
VI,35,32,1,,Methoxypropylamino Cyclohexenylidene Ethoxyethylcyanoacetate,1419401-88-9,700-860-3,1
VI,36,33,1,,Bis-(Diethylaminohydroxybenzoyl Benzoyl) Piperazine,919803-06-8,485-100-6,1
VI,37,34,1,,Bis-(Diethylaminohydroxybenzoyl Benzoyl) Piperazine (nano),919803-06-8,485-100-6,1
